Protein	Family,,Description
A0A0E0UGL8	N/A,,N/A
A0A0E0UH56	N/A,,N/A
A0A0E0UHM0	N/A,,N/A
A0A0E0UHQ8	N/A,,N/A
A0A0E0UHT8	N/A,,N/A
A0A0E0UHU9	N/A,,N/A
A0A0E0UHV7	N/A,,N/A
A0A0E0UI25	N/A,,N/A
A0A0E0UI36	N/A,,N/A
A0A0E0UIH3	N/A,,N/A
A0A0E0UII0	N/A,,N/A
A0A0E0UIQ4	N/A,,N/A
A0A0E0UJ54	N/A,,N/A
A0A0E0UJ98	N/A,,N/A
A0A0E0UJC1	N/A,,N/A
A0A0E0UKM9	N/A,,N/A
A0A0E0UKN7	N/A,,N/A
A0A0E0UKP1	N/A,,N/A
A0A0E0UKY1	N/A,,N/A
A0A0E0UL81	N/A,,N/A
A0A0E0ULB5	N/A,,N/A
A0A0E0ULH8	N/A,,N/A
A0A0E0UN93	N/A,,N/A
A0A0E0UN97	N/A,,N/A
A0A0E0UNG4	N/A,,N/A
A0A0E0UNJ4	N/A,,N/A
A0A0E0UNP3	N/A,,N/A
A0A0E0UPG1	N/A,,N/A
A0A0E0UPL1	N/A,,N/A
A0A0E0UPR3	N/A,,N/A
A0A0E0UPR9	N/A,,N/A
A0A0E0UPX2	N/A,,N/A
A0A0E0UQ72	N/A,,N/A
A0A0E0UQG5	N/A,,N/A
A0A0E0URT6	N/A,,N/A
A0A0E0UW41	N/A,,N/A
A0A0E0UWC2	N/A,,N/A
A0A0E1EET6	N/A,,N/A
A0A0E1EL42	N/A,,N/A
A0A0E1EN14	N/A,,N/A
A0A0E1R974	N/A,,N/A
A0A0E1Y3Q6	N/A,,N/A
A0A0E2CSW4	N/A,,N/A
A0A0E2D3A7	N/A,,N/A
A0A0E3CNN1	N/A,,N/A
A0A0E3CRJ7	N/A,,N/A
A0A0F0JYS2	N/A,,N/A
A0A0F6P9K5	N/A,,N/A
A0A0G2PF30	N/A,,N/A
A0A0G2Q9D4	N/A,,N/A
A0A0G2Q9D8	N/A,,N/A
A0A0G2Q9E8	N/A,,N/A
A0A0G2Q9E9	N/A,,N/A
A0A0G2Q9F8	N/A,,N/A
A0A0G2Q9F9	N/A,,N/A
A0A0G2Q9G0	N/A,,N/A
A0A0G2Q9H1	N/A,,N/A
A0A0G2Q9H2	N/A,,N/A
A0A0G2Q9I7	N/A,,N/A
A0A0G2Q9K0	N/A,,N/A
A0A0G2Q9L2	N/A,,N/A
A0A0G2Q9N7	N/A,,N/A
A0A0G2Q9N9	N/A,,N/A
A0A0H0YCP0	N/A,,N/A
A0A0H0YG72	N/A,,N/A
A0A0H0YGD0	N/A,,N/A
A0A0H1NRE3	N/A,,N/A
A0A0H1XJQ7	N/A,,N/A
A0A0H2UQ40	N/A,,N/A
A0A0H2USC0	N/A,,N/A
A0A0H2USF2	N/A,,N/A
A0A0H2USF3	N/A,,N/A
A0A0H2USG1	N/A,,N/A
A0A0H2USH9	N/A,,N/A
A0A0H2USM2	N/A,,N/A
A0A0H2USP0	N/A,,N/A
A0A0H2USP5	N/A,,N/A
A0A0H2USS8	N/A,,N/A
A0A0H2UWW5	N/A,,N/A
A0A0H2UWZ6	N/A,,N/A
A0A0H2UX03	N/A,,N/A
A0A0H2UX23	N/A,,N/A
A0A0H2UX29	N/A,,N/A
A0A0H2UX95	N/A,,N/A
A0A0H2UXE8	N/A,,N/A
A0A0H2UXR4	N/A,,N/A
A0A0H2UXU2	N/A,,N/A
A0A0H2UXV0	N/A,,N/A
A0A0H2UXW2	N/A,,N/A
A0A0H2UY03	N/A,,N/A
A0A0H2UY50	N/A,,N/A
A0A0H2UY62	N/A,,N/A
A0A0H2UY65	N/A,,N/A
A0A0H2UY89	N/A,,N/A
A0A0H2UY99	N/A,,N/A
A0A0H2UYA8	N/A,,N/A
A0A0H2UYC2	N/A,,N/A
A0A0H2UYC3	N/A,,N/A
A0A0H2UYD2	N/A,,N/A
A0A0H2UYJ4	N/A,,N/A
A0A0H2UYP6	N/A,,N/A
A0A0H2UYV7	N/A,,N/A
A0A0H2UYY2	N/A,,N/A
A0A0H2UYY3	N/A,,N/A
A0A0H2UYY9	N/A,,N/A
A0A0H2UZ04	N/A,,N/A
A0A0H2UZ60	N/A,,N/A
A0A0H2UZ75	N/A,,N/A
A0A0H2UZI2	N/A,,N/A
A0A0H2UZL0	N/A,,N/A
A0A0H2UZM7	N/A,,N/A
A0A0H2UZP6	N/A,,N/A
A0A0H2UZP8	N/A,,N/A
A0A0H2UZQ6	N/A,,N/A
A0A0H2UZT5	N/A,,N/A
A0A0H2UZX5	N/A,,N/A
A0A0H2UZZ8	N/A,,N/A
A0A0H2V013	N/A,,N/A
A0A0H2V042	N/A,,N/A
A0A0H2V062	N/A,,N/A
A0A0H2V075	N/A,,N/A
A0A0H2V0B5	N/A,,N/A
A0A0H2V0C3	N/A,,N/A
A0A0H2V0C8	N/A,,N/A
A0A0H2V0D7	N/A,,N/A
A0A0H2V0E5	N/A,,N/A
A0A0H2V0F8	N/A,,N/A
A0A0H2V0J1	N/A,,N/A
A0A0H2V0L8	N/A,,N/A
A0A0H2V0M8	N/A,,N/A
A0A0H2V0Q5	N/A,,N/A
A0A0H2V0R7	N/A,,N/A
A0A0H2V0T8	N/A,,N/A
A0A0H2V0W2	N/A,,N/A
A0A0H2V0Y6	N/A,,N/A
A0A0H2V0Z7	N/A,,N/A
A0A0H2V104	N/A,,N/A
A0A0H2V107	N/A,,N/A
A0A0H2V132	N/A,,N/A
A0A0H2V137	N/A,,N/A
A0A0H2V170	N/A,,N/A
A0A0H2V179	N/A,,N/A
A0A0H2V1A9	N/A,,N/A
A0A0H2V1B5	N/A,,N/A
A0A0H2V1E3	N/A,,N/A
A0A0H2V1J2	N/A,,N/A
A0A0H2V1J5	N/A,,N/A
A0A0H2V1M4	N/A,,N/A
A0A0H2V1N8	N/A,,N/A
A0A0H2V1P4	N/A,,N/A
A0A0H2V1Q4	N/A,,N/A
A0A0H2V1U5	N/A,,N/A
A0A0H2V1V4	N/A,,N/A
A0A0H2V1V9	N/A,,N/A
A0A0H2V1Z0	N/A,,N/A
A0A0H2V203	N/A,,N/A
A0A0H2V252	N/A,,N/A
A0A0H2V292	N/A,,N/A
A0A0H2V2A5	N/A,,N/A
A0A0H2V2A8	N/A,,N/A
A0A0H2V2B5	N/A,,N/A
A0A0H2V2L0	N/A,,N/A
A0A0H2V2S3	N/A,,N/A
A0A0H2V2U9	N/A,,N/A
A0A0H2V2V7	N/A,,N/A
A0A0H2V2Y1	N/A,,N/A
A0A0H2V2Y7	N/A,,N/A
A0A0H2V2Z3	N/A,,N/A
A0A0H2V371	N/A,,N/A
A0A0H2V3A5	N/A,,N/A
A0A0H2V3C6	N/A,,N/A
A0A0H2V3I9	N/A,,N/A
A0A0H2V3M4	N/A,,N/A
A0A0H2V3M9	N/A,,N/A
A0A0H2V3N4	N/A,,N/A
A0A0H2V3P9	N/A,,N/A
A0A0H2V3Q5	N/A,,N/A
A0A0H2V3S2	N/A,,N/A
A0A0H2V3S3	N/A,,N/A
A0A0H2V3V0	N/A,,N/A
A0A0H2V407	N/A,,N/A
A0A0H2V442	N/A,,N/A
A0A0H2V488	N/A,,N/A
A0A0H2V555	N/A,,N/A
A0A0H2V5C4	N/A,,N/A
A0A0H2V5L0	N/A,,N/A
A0A0H2VSM9	N/A,,N/A
A0A0H2VSS8	N/A,,N/A
A0A0H2VT45	N/A,,N/A
A0A0H2VT54	N/A,,N/A
A0A0H2VT81	N/A,,N/A
A0A0H2VTA6	N/A,,N/A
A0A0H2VTF9	N/A,,N/A
A0A0H2VTI8	N/A,,N/A
A0A0H2VTK0	N/A,,N/A
A0A0H2VTU0	N/A,,N/A
A0A0H2VTW3	N/A,,N/A
A0A0H2VTY7	N/A,,N/A
A0A0H2VTZ4	N/A,,N/A
A0A0H2VUP7	N/A,,N/A
A0A0H2VUT9	N/A,,N/A
A0A0H2VUW9	N/A,,N/A
A0A0H2VUZ8	N/A,,N/A
A0A0H2VV08	N/A,,N/A
A0A0H2VV29	N/A,,N/A
A0A0H2VV39	N/A,,N/A
A0A0H2VV44	N/A,,N/A
A0A0H2VV48	N/A,,N/A
A0A0H2VVB7	N/A,,N/A
A0A0H2VVC0	N/A,,N/A
A0A0H2VVD2	N/A,,N/A
A0A0H2VVG5	N/A,,N/A
A0A0H2VVI1	N/A,,N/A
A0A0H2VVP2	N/A,,N/A
A0A0H2VVS9	N/A,,N/A
A0A0H2VVU1	N/A,,N/A
A0A0H2VW13	N/A,,N/A
A0A0H2VW22	N/A,,N/A
A0A0H2VW26	N/A,,N/A
A0A0H2VW51	N/A,,N/A
A0A0H2VWL1	N/A,,N/A
A0A0H2VWM2	N/A,,N/A
A0A0H2VX20	N/A,,N/A
A0A0H2VX23	N/A,,N/A
A0A0H2VX42	N/A,,N/A
A0A0H2VX83	N/A,,N/A
A0A0H2VXB8	N/A,,N/A
A0A0H2VXH5	N/A,,N/A
A0A0H2VXM7	N/A,,N/A
A0A0H2VXW3	N/A,,N/A
A0A0H2VXW8	N/A,,N/A
A0A0H2VXY8	N/A,,N/A
A0A0H2VXZ9	N/A,,N/A
A0A0H2VY02	N/A,,N/A
A0A0H2VY20	N/A,,N/A
A0A0H2VY68	N/A,,N/A
A0A0H2VYF0	N/A,,N/A
A0A0H2VYF7	N/A,,N/A
A0A0H2VYP7	N/A,,N/A
A0A0H2VYQ8	N/A,,N/A
A0A0H2VYU4	N/A,,N/A
A0A0H2VYX6	N/A,,N/A
A0A0H2VZ63	N/A,,N/A
A0A0H2VZN3	N/A,,N/A
A0A0H2VZP1	N/A,,N/A
A0A0H2VZQ5	N/A,,N/A
A0A0H2VZS4	N/A,,N/A
A0A0H2VZY7	N/A,,N/A
A0A0H2W006	N/A,,N/A
A0A0H2W0B9	N/A,,N/A
A0A0H2W0C8	N/A,,N/A
A0A0H2W0D3	N/A,,N/A
A0A0H2W0I3	N/A,,N/A
A0A0H2W0M7	N/A,,N/A
A0A0H2W0U1	N/A,,N/A
A0A0H2W120	N/A,,N/A
A0A0H2WVE0	N/A,,N/A
A0A0H2WVJ7	N/A,,N/A
A0A0H2WVT9	N/A,,N/A
A0A0H2WVU2	N/A,,N/A
A0A0H2WVX8	N/A,,N/A
A0A0H2WW08	N/A,,N/A
A0A0H2WW42	N/A,,N/A
A0A0H2WW50	N/A,,N/A
A0A0H2WW54	N/A,,N/A
A0A0H2WW67	N/A,,N/A
A0A0H2WW68	N/A,,N/A
A0A0H2WW75	N/A,,N/A
A0A0H2WWC0	N/A,,N/A
A0A0H2WWE9	N/A,,N/A
A0A0H2WWF0	N/A,,N/A
A0A0H2WWF4	N/A,,N/A
A0A0H2WWN8	N/A,,N/A
A0A0H2WWP2	N/A,,N/A
A0A0H2WWR5	N/A,,N/A
A0A0H2WWV4	N/A,,N/A
A0A0H2WWV6	N/A,,N/A
A0A0H2WWV7	N/A,,N/A
A0A0H2WWY8	N/A,,N/A
A0A0H2WX02	N/A,,N/A
A0A0H2WX21	N/A,,N/A
A0A0H2WX37	N/A,,N/A
A0A0H2WX88	N/A,,N/A
A0A0H2WXA4	N/A,,N/A
A0A0H2WXA5	N/A,,N/A
A0A0H2WXB1	N/A,,N/A
A0A0H2WXB4	N/A,,N/A
A0A0H2WXD9	N/A,,N/A
A0A0H2WXE3	N/A,,N/A
A0A0H2WXT4	N/A,,N/A
A0A0H2WXU4	N/A,,N/A
A0A0H2WY00	N/A,,N/A
A0A0H2WY40	N/A,,N/A
A0A0H2WY61	N/A,,N/A
A0A0H2WYD2	N/A,,N/A
A0A0H2WYE2	N/A,,N/A
A0A0H2WYH9	N/A,,N/A
A0A0H2WYJ9	N/A,,N/A
A0A0H2WYM6	N/A,,N/A
A0A0H2WYP2	N/A,,N/A
A0A0H2WYT5	N/A,,N/A
A0A0H2WYV4	N/A,,N/A
A0A0H2WYW1	N/A,,N/A
A0A0H2WYW9	N/A,,N/A
A0A0H2WZ06	N/A,,N/A
A0A0H2WZ29	N/A,,N/A
A0A0H2WZ39	N/A,,N/A
A0A0H2WZ77	N/A,,N/A
A0A0H2WZ86	N/A,,N/A
A0A0H2WZB1	N/A,,N/A
A0A0H2WZC2	N/A,,N/A
A0A0H2WZF0	N/A,,N/A
A0A0H2WZG1	N/A,,N/A
A0A0H2WZG9	N/A,,N/A
A0A0H2WZJ1	N/A,,N/A
A0A0H2WZL1	N/A,,N/A
A0A0H2WZM0	N/A,,N/A
A0A0H2WZQ6	N/A,,N/A
A0A0H2WZW3	N/A,,N/A
A0A0H2WZX2	N/A,,N/A
A0A0H2WZY6	N/A,,N/A
A0A0H2WZZ2	N/A,,N/A
A0A0H2X027	N/A,,N/A
A0A0H2X029	N/A,,N/A
A0A0H2X037	N/A,,N/A
A0A0H2X0A1	N/A,,N/A
A0A0H2X0B5	N/A,,N/A
A0A0H2X0C4	N/A,,N/A
A0A0H2X1A6	N/A,,N/A
A0A0H2X1G4	N/A,,N/A
A0A0H2YY22	N/A,,N/A
A0A0H2Z6P1	N/A,,N/A
A0A0H2Z6X6	N/A,,N/A
A0A0H2Z7B7	N/A,,N/A
A0A0H2Z892	N/A,,N/A
A0A0H2Z8T0	N/A,,N/A
A0A0H2Z968	N/A,,N/A
A0A0H2Z9A9	N/A,,N/A
A0A0H2Z9C3	N/A,,N/A
A0A0H2Z9M5	N/A,,N/A
A0A0H2Z9S0	N/A,,N/A
A0A0H2Z9U4	N/A,,N/A
A0A0H2ZA56	N/A,,N/A
A0A0H2ZA93	N/A,,N/A
A0A0H2ZAH9	N/A,,N/A
A0A0H2ZAX4	N/A,,N/A
A0A0H2ZBE7	N/A,,N/A
A0A0H2ZBR4	N/A,,N/A
A0A0H2ZCG9	N/A,,N/A
A0A0H2ZCW9	N/A,,N/A
A0A0H2ZD39	N/A,,N/A
A0A0H2ZDN1	N/A,,N/A
A0A0H2ZE32	N/A,,N/A
A0A0H2ZEH0	N/A,,N/A
A0A0H2ZEZ6	N/A,,N/A
A0A0H2ZF94	N/A,,N/A
A0A0H2ZFZ7	N/A,,N/A
A0A0H2ZGH6	N/A,,N/A
A0A0H2ZGM4	N/A,,N/A
A0A0H2ZGY3	N/A,,N/A
A0A0H2ZHP8	N/A,,N/A
A0A0H2ZHV0	N/A,,N/A
A0A0H2ZI65	N/A,,N/A
A0A0H2ZIH9	N/A,,N/A
A0A0H2ZIW7	N/A,,N/A
A0A0H2ZK24	N/A,,N/A
A0A0H2ZLD8	N/A,,N/A
A0A0H2ZLE0	N/A,,N/A
A0A0H2ZLH0	N/A,,N/A
A0A0H2ZLI5	N/A,,N/A
A0A0H2ZLT2	N/A,,N/A
A0A0H2ZLY8	N/A,,N/A
A0A0H2ZLZ4	N/A,,N/A
A0A0H2ZM91	N/A,,N/A
A0A0H2ZMK9	N/A,,N/A
A0A0H2ZMP5	N/A,,N/A
A0A0H2ZMS9	N/A,,N/A
A0A0H2ZMV7	N/A,,N/A
A0A0H2ZN13	N/A,,N/A
A0A0H2ZN54	N/A,,N/A
A0A0H2ZN64	N/A,,N/A
A0A0H2ZN99	N/A,,N/A
A0A0H2ZNG3	N/A,,N/A
A0A0H2ZNG8	N/A,,N/A
A0A0H2ZNI4	N/A,,N/A
A0A0H2ZNM6	N/A,,N/A
A0A0H2ZNN6	N/A,,N/A
A0A0H2ZNS9	N/A,,N/A
A0A0H2ZNX1	N/A,,N/A
A0A0H2ZNX3	N/A,,N/A
A0A0H2ZP62	N/A,,N/A
A0A0H2ZP84	N/A,,N/A
A0A0H2ZPA7	N/A,,N/A
A0A0H2ZPC6	N/A,,N/A
A0A0H2ZPG7	N/A,,N/A
A0A0H2ZPI5	N/A,,N/A
A0A0H2ZPL5	N/A,,N/A
A0A0H2ZPN9	N/A,,N/A
A0A0H2ZPQ1	N/A,,N/A
A0A0H2ZPS0	N/A,,N/A
A0A0H2ZPS7	N/A,,N/A
A0A0H2ZPT1	N/A,,N/A
A0A0H2ZPT5	N/A,,N/A
A0A0H2ZQ65	N/A,,N/A
A0A0H2ZQ87	N/A,,N/A
A0A0H2ZQE0	N/A,,N/A
A0A0H2ZQE4	N/A,,N/A
A0A0H2ZQF3	N/A,,N/A
A0A0H2ZQI4	N/A,,N/A
A0A0H2ZQW0	N/A,,N/A
A0A0H2ZR12	N/A,,N/A
A0A0H2ZR39	N/A,,N/A
A0A0H2ZR50	N/A,,N/A
A0A0H2ZR80	N/A,,N/A
A0A0H2ZRA8	N/A,,N/A
A0A0H2ZRF0	N/A,,N/A
A0A0H3BNJ9	N/A,,N/A
A0A0H3FL20	N/A,,N/A
A0A0H3GE39	N/A,,N/A
A0A0H3GGT0	N/A,,N/A
A0A0H3GIV1	N/A,,N/A
A0A0H3GJV8	N/A,,N/A
A0A0H3GSB6	N/A,,N/A
A0A0H3JDM8	N/A,,N/A
A0A0H3JF05	N/A,,N/A
A0A0H3K684	N/A,,N/A
A0A0H3K6P9	N/A,,N/A
A0A0H3K743	N/A,,N/A
A0A0H3K7D0	N/A,,N/A
A0A0H3K7F4	N/A,,N/A
A0A0H3K7L0	N/A,,N/A
A0A0H3K8E2	N/A,,N/A
A0A0H3K8I6	N/A,,N/A
A0A0H3K8Q4	N/A,,N/A
A0A0H3K8V5	N/A,,N/A
A0A0H3K9E4	N/A,,N/A
A0A0H3K9P0	N/A,,N/A
A0A0H3K9T2	N/A,,N/A
A0A0H3KA72	N/A,,N/A
A0A0H3KAP0	N/A,,N/A
A0A0H3KBK6	N/A,,N/A
A0A0H3KCE0	N/A,,N/A
A0A0H3KCP9	N/A,,N/A
A0A0H3KCZ3	N/A,,N/A
A0A0H3KDS2	N/A,,N/A
A0A0H3KE94	N/A,,N/A
A0A0H3KFC4	N/A,,N/A
A0A0H3KFD1	N/A,,N/A
A0A0H3KFQ9	N/A,,N/A
A0A0H3KFX1	N/A,,N/A
A0A0H3KGZ9	N/A,,N/A
A0A0H3M0I9	N/A,,N/A
A0A0H3M0K6	N/A,,N/A
A0A0H3M0L5	N/A,,N/A
A0A0H3M0M7	N/A,,N/A
A0A0H3M0M9	N/A,,N/A
A0A0H3M0P5	N/A,,N/A
A0A0H3M0Q5	N/A,,N/A
A0A0H3M0R6	N/A,,N/A
A0A0H3M0V2	N/A,,N/A
A0A0H3M0X2	N/A,,N/A
A0A0H3M0X9	N/A,,N/A
A0A0H3M0Z1	N/A,,N/A
A0A0H3M102	N/A,,N/A
A0A0H3M143	N/A,,N/A
A0A0H3M173	N/A,,N/A
A0A0H3M187	N/A,,N/A
A0A0H3M194	N/A,,N/A
A0A0H3M199	N/A,,N/A
A0A0H3M1A4	N/A,,N/A
A0A0H3M1A8	N/A,,N/A
A0A0H3M1B0	N/A,,N/A
A0A0H3M1C1	N/A,,N/A
A0A0H3M1E3	N/A,,N/A
A0A0H3M1E6	N/A,,N/A
A0A0H3M1F0	N/A,,N/A
A0A0H3M1F9	N/A,,N/A
A0A0H3M1H5	N/A,,N/A
A0A0H3M1J6	N/A,,N/A
A0A0H3M1J7	N/A,,N/A
A0A0H3M1K1	N/A,,N/A
A0A0H3M1N7	N/A,,N/A
A0A0H3M1P9	N/A,,N/A
A0A0H3M1R0	N/A,,N/A
A0A0H3M1R4	N/A,,N/A
A0A0H3M1S1	N/A,,N/A
A0A0H3M1S9	N/A,,N/A
A0A0H3M1U6	N/A,,N/A
A0A0H3M1X8	N/A,,N/A
A0A0H3M1Y5	N/A,,N/A
A0A0H3M204	N/A,,N/A
A0A0H3M210	N/A,,N/A
A0A0H3M225	N/A,,N/A
A0A0H3M245	N/A,,N/A
A0A0H3M263	N/A,,N/A
A0A0H3M2A5	N/A,,N/A
A0A0H3M2C1	N/A,,N/A
A0A0H3M2C2	N/A,,N/A
A0A0H3M2D9	N/A,,N/A
A0A0H3M2E0	N/A,,N/A
A0A0H3M2E1	N/A,,N/A
A0A0H3M2E5	N/A,,N/A
A0A0H3M2E7	N/A,,N/A
A0A0H3M2G7	N/A,,N/A
A0A0H3M2H1	N/A,,N/A
A0A0H3M2H3	N/A,,N/A
A0A0H3M2H5	N/A,,N/A
A0A0H3M2I6	N/A,,N/A
A0A0H3M2K4	N/A,,N/A
A0A0H3M2K8	N/A,,N/A
A0A0H3M2M1	N/A,,N/A
A0A0H3M2N0	N/A,,N/A
A0A0H3M2Q0	N/A,,N/A
A0A0H3M2R5	N/A,,N/A
A0A0H3M2S1	N/A,,N/A
A0A0H3M2S6	N/A,,N/A
A0A0H3M2T4	N/A,,N/A
A0A0H3M2U2	N/A,,N/A
A0A0H3M2V0	N/A,,N/A
A0A0H3M2W3	N/A,,N/A
A0A0H3M310	N/A,,N/A
A0A0H3M322	N/A,,N/A
A0A0H3M336	N/A,,N/A
A0A0H3M338	N/A,,N/A
A0A0H3M349	N/A,,N/A
A0A0H3M363	N/A,,N/A
A0A0H3M375	N/A,,N/A
A0A0H3M379	N/A,,N/A
A0A0H3M380	N/A,,N/A
A0A0H3M389	N/A,,N/A
A0A0H3M3A0	N/A,,N/A
A0A0H3M3A7	N/A,,N/A
A0A0H3M3B6	N/A,,N/A
A0A0H3M3C6	N/A,,N/A
A0A0H3M3E7	N/A,,N/A
A0A0H3M3F1	N/A,,N/A
A0A0H3M3F6	N/A,,N/A
A0A0H3M3G2	N/A,,N/A
A0A0H3M3G7	N/A,,N/A
A0A0H3M3I2	N/A,,N/A
A0A0H3M3L4	N/A,,N/A
A0A0H3M3M4	N/A,,N/A
A0A0H3M3M8	N/A,,N/A
A0A0H3M3P3	N/A,,N/A
A0A0H3M3P5	N/A,,N/A
A0A0H3M3R1	N/A,,N/A
A0A0H3M3R7	N/A,,N/A
A0A0H3M3S8	N/A,,N/A
A0A0H3M3V5	N/A,,N/A
A0A0H3M429	N/A,,N/A
A0A0H3M454	N/A,,N/A
A0A0H3M469	N/A,,N/A
A0A0H3M480	N/A,,N/A
A0A0H3M499	N/A,,N/A
A0A0H3M4A3	N/A,,N/A
A0A0H3M4A6	N/A,,N/A
A0A0H3M4A7	N/A,,N/A
A0A0H3M4G7	N/A,,N/A
A0A0H3M4G9	N/A,,N/A
A0A0H3M4H4	N/A,,N/A
A0A0H3M4H7	N/A,,N/A
A0A0H3M4J7	N/A,,N/A
A0A0H3M4J8	N/A,,N/A
A0A0H3M4M1	N/A,,N/A
A0A0H3M4M5	N/A,,N/A
A0A0H3M4P2	N/A,,N/A
A0A0H3M4T3	N/A,,N/A
A0A0H3M4U0	N/A,,N/A
A0A0H3M4U3	N/A,,N/A
A0A0H3M4X4	N/A,,N/A
A0A0H3M4Y2	N/A,,N/A
A0A0H3M4Z4	N/A,,N/A
A0A0H3M520	N/A,,N/A
A0A0H3M565	N/A,,N/A
A0A0H3M566	N/A,,N/A
A0A0H3M589	N/A,,N/A
A0A0H3M591	N/A,,N/A
A0A0H3M597	N/A,,N/A
A0A0H3M5C2	N/A,,N/A
A0A0H3M5G6	N/A,,N/A
A0A0H3M5I0	N/A,,N/A
A0A0H3M5I9	N/A,,N/A
A0A0H3M5J1	N/A,,N/A
A0A0H3M5J3	N/A,,N/A
A0A0H3M5J6	N/A,,N/A
A0A0H3M5K2	N/A,,N/A
A0A0H3M5L8	N/A,,N/A
A0A0H3M5M1	N/A,,N/A
A0A0H3M5N5	N/A,,N/A
A0A0H3M5N6	N/A,,N/A
A0A0H3M5P8	N/A,,N/A
A0A0H3M5S4	N/A,,N/A
A0A0H3M5S8	N/A,,N/A
A0A0H3M5T7	N/A,,N/A
A0A0H3M5V0	N/A,,N/A
A0A0H3M5V1	N/A,,N/A
A0A0H3M5V7	N/A,,N/A
A0A0H3M5W6	N/A,,N/A
A0A0H3M5X7	N/A,,N/A
A0A0H3M5Z5	N/A,,N/A
A0A0H3M5Z7	N/A,,N/A
A0A0H3M610	N/A,,N/A
A0A0H3M624	N/A,,N/A
A0A0H3M638	N/A,,N/A
A0A0H3M639	N/A,,N/A
A0A0H3M647	N/A,,N/A
A0A0H3M648	N/A,,N/A
A0A0H3M677	N/A,,N/A
A0A0H3M694	N/A,,N/A
A0A0H3M6A1	N/A,,N/A
A0A0H3M6B2	N/A,,N/A
A0A0H3M6B9	N/A,,N/A
A0A0H3M6E1	N/A,,N/A
A0A0H3M6F5	N/A,,N/A
A0A0H3M6H3	N/A,,N/A
A0A0H3M6I8	N/A,,N/A
A0A0H3M6I9	N/A,,N/A
A0A0H3M6J3	N/A,,N/A
A0A0H3M6L3	N/A,,N/A
A0A0H3M6N8	N/A,,N/A
A0A0H3M6Q0	N/A,,N/A
A0A0H3M6S7	N/A,,N/A
A0A0H3M6T3	N/A,,N/A
A0A0H3M6U0	N/A,,N/A
A0A0H3M6U5	N/A,,N/A
A0A0H3M6U9	N/A,,N/A
A0A0H3M6V0	N/A,,N/A
A0A0H3M6W3	N/A,,N/A
A0A0H3M6Y7	N/A,,N/A
A0A0H3M6Y9	N/A,,N/A
A0A0H3M714	N/A,,N/A
