Protein	Start Site,,End Site,,Family,,Description
A0A0E0UB30	1,,391,,MF_00118_B,,EF_Tu,,Elongation factor Tu [tuf]
A0A0E0UB34	N/A,,N/A,,N/A,,N/A
A0A0E0UB51	7,,96,,MF_01369_B,,Ribosomal_L23,,50S ribosomal protein L23 [rplW]
A0A0E0UBA4	2,,540,,MF_00600,,CH60,,60 kDa chaperonin [groL]
A0A0E0UBD5	N/A,,N/A,,N/A,,N/A
A0A0E0UBD6	N/A,,N/A,,N/A,,N/A
A0A0E0UBH9	2,,555,,MF_01491,,RNase_J_bact,,Ribonuclease J [rnj]
A0A0E0UBL6	N/A,,N/A,,N/A,,N/A
A0A0E0UBP0	N/A,,N/A,,N/A,,N/A
A0A0E0UBU7	9,,350,,MF_00741,,AIRS,,Phosphoribosylformylglycinamidine cyclo-ligase [purM]
A0A0E0UBV5	N/A,,N/A,,N/A,,N/A
A0A0E0UBX6	13,,429,,MF_00051,,SHMT,,Serine hydroxymethyltransferase [glyA]
A0A0E0UC24	N/A,,N/A,,N/A,,N/A
A0A0E0UCM8	N/A,,N/A,,N/A,,N/A
A0A0E0UCS0	4,,238,,MF_00137,,SAICAR_synth,,Phosphoribosylaminoimidazole-succinocarboxamide synthase [purC]
A0A0E0UCT0	N/A,,N/A,,N/A,,N/A
A0A0E0UCT8	N/A,,N/A,,N/A,,N/A
A0A0E0UCU7	15,,308,,MF_01876,,PsiMP_glycosidase,,Pseudouridine-5'-phosphate glycosidase [psuG]
A0A0E0UCU9	5,,238,,MF_01220_B,,PyrH,,Uridylate kinase [pyrH]
A0A0E0UCV1	N/A,,N/A,,N/A,,N/A
A0A0E0UCX8	N/A,,N/A,,N/A,,N/A
A0A0E0UCY2	N/A,,N/A,,N/A,,N/A
A0A0E0UD17	20,,336,,MF_00230,,CobT,,Nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase [cobT]
A0A0E0UD69	N/A,,N/A,,N/A,,N/A
A0A0E0UD90	1,,743,,MF_00420,,PurL_2,,Phosphoribosylformylglycinamidine synthase subunit PurL [purL]
A0A0E0UD97	N/A,,N/A,,N/A,,N/A
A0A0E0UDD5	N/A,,N/A,,N/A,,N/A
A0A0E0UDL4	N/A,,N/A,,N/A,,N/A
A0A0E0UDW5	N/A,,N/A,,N/A,,N/A
A0A0E0UEF9	5,,186,,MF_01334,,Ribosomal_L25_CTC,,50S ribosomal protein L25 [rplY]
A0A0E0UEH3	N/A,,N/A,,N/A,,N/A
A0A0E0UET8	N/A,,N/A,,N/A,,N/A
A0A0E0UEW7	N/A,,N/A,,N/A,,N/A
A0A0E0UEX4	N/A,,N/A,,N/A,,N/A
A0A0E0UFF6	1,,68,,MF_00373,,Ribosomal_L28,,50S ribosomal protein L28 [rpmB]
A0A0E0UFH5	N/A,,N/A,,N/A,,N/A
A0A0E0UFJ1	N/A,,N/A,,N/A,,N/A
A0A0E0UFL2	2,,446,,MF_01554_B,,GlmM,,Phosphoglucosamine mutase [glmM]
A0A0E0UG10	N/A,,N/A,,N/A,,N/A
A0A0E0UG46	N/A,,N/A,,N/A,,N/A
A0A0E0UGD4	1,,396,,MF_00558,,Succ_CoA_beta,,Succinate--CoA ligase [ADP-forming] subunit beta, mitochondrial
A0A0E0UGI2	N/A,,N/A,,N/A,,N/A
A0A0E0UGL8	N/A,,N/A,,N/A,,N/A
A0A0E0UH56	1,,298,,MF_01988,,Succ_CoA_alpha,,Succinate--CoA ligase [ADP/GDP-forming] subunit alpha, mitochondrial [SUCLG1]
A0A0E0UHM0	N/A,,N/A,,N/A,,N/A
A0A0E0UHQ8	N/A,,N/A,,N/A,,N/A
A0A0E0UHT8	1,,631,,MF_00332,,DnaK,,Chaperone protein DnaK [dnaK]
A0A0E0UHU9	3,,89,,MF_01343_B,,Ribosomal_S15,,30S ribosomal protein S15 [rpsO]
A0A0E0UHV7	16,,446,,MF_00210,,EPSP_synth,,3-phosphoshikimate 1-carboxyvinyltransferase [aroA]
A0A0E0UI25	N/A,,N/A,,N/A,,N/A
A0A0E0UI36	8,,344,,MF_00281,,Phe_tRNA_synth_alpha1,,Phenylalanine--tRNA ligase alpha subunit [pheS]
A0A0E0UIH3	3,,695,,MF_01595,,PNPase,,Polyribonucleotide nucleotidyltransferase [pnp]
A0A0E0UII0	1,,435,,MF_00249,,HslU,,ATP-dependent protease ATPase subunit HslU [hslU]
A0A0E0UIQ4	N/A,,N/A,,N/A,,N/A
A0A0E0UJ54	N/A,,N/A,,N/A,,N/A
A0A0E0UJ98	2,,544,,MF_00600,,CH60,,60 kDa chaperonin [groL]
A0A0E0UJC1	2,,542,,MF_00600,,CH60,,60 kDa chaperonin [groL]
A0A0E0UKM9	N/A,,N/A,,N/A,,N/A
A0A0E0UKN7	N/A,,N/A,,N/A,,N/A
A0A0E0UKP1	N/A,,N/A,,N/A,,N/A
A0A0E0UKY1	N/A,,N/A,,N/A,,N/A
A0A0E0UL81	N/A,,N/A,,N/A,,N/A
A0A0E0ULB5	N/A,,N/A,,N/A,,N/A
A0A0E0ULH8	4,,277,,MF_00533,,NifH,,Nitrogenase iron protein [nifH]
A0A0E0UN93	N/A,,N/A,,N/A,,N/A
A0A0E0UN97	6,,624,,MF_00505,,HSP90,,Chaperone protein HtpG [htpG]
A0A0E0UNG4	12,,413,,MF_00372,,HutI,,Imidazolonepropionase [hutI]
A0A0E0UNJ4	N/A,,N/A,,N/A,,N/A
A0A0E0UNP3	2,,540,,MF_00600,,CH60,,60 kDa chaperonin [groL]
A0A0E0UPG1	N/A,,N/A,,N/A,,N/A
A0A0E0UPL1	N/A,,N/A,,N/A,,N/A
A0A0E0UPR3	N/A,,N/A,,N/A,,N/A
A0A0E0UPR9	N/A,,N/A,,N/A,,N/A
A0A0E0UPX2	N/A,,N/A,,N/A,,N/A
A0A0E0UQ72	N/A,,N/A,,N/A,,N/A
A0A0E0UQG5	N/A,,N/A,,N/A,,N/A
A0A0E0URT6	N/A,,N/A,,N/A,,N/A
A0A0E0UW41	N/A,,N/A,,N/A,,N/A
A0A0E0UWC2	N/A,,N/A,,N/A,,N/A
A0A0E1EET6	N/A,,N/A,,N/A,,N/A
A0A0E1EL42	259,,533,,MF_00920,,FtsY,,Signal recognition particle receptor FtsY [ftsY]
A0A0E1EN14	N/A,,N/A,,N/A,,N/A
A0A0E1R974	N/A,,N/A,,N/A,,N/A
A0A0E1Y3Q6	N/A,,N/A,,N/A,,N/A
A0A0E2CSW4	N/A,,N/A,,N/A,,N/A
A0A0E2D3A7	N/A,,N/A,,N/A,,N/A
A0A0E3CNN1	N/A,,N/A,,N/A,,N/A
A0A0E3CRJ7	N/A,,N/A,,N/A,,N/A
A0A0F0JYS2	N/A,,N/A,,N/A,,N/A
A0A0F6P9K5	N/A,,N/A,,N/A,,N/A
A0A0G2PF30	N/A,,N/A,,N/A,,N/A
A0A0G2Q9D4	N/A,,N/A,,N/A,,N/A
A0A0G2Q9D8	N/A,,N/A,,N/A,,N/A
A0A0G2Q9E8	N/A,,N/A,,N/A,,N/A
A0A0G2Q9E9	N/A,,N/A,,N/A,,N/A
A0A0G2Q9F8	10,,820,,MF_01897,,GyrA,,DNA gyrase subunit A [gyrA]
A0A0G2Q9F9	1,,145,,MF_00927,,CwsA,,Cell wall synthesis protein CwsA [cwsA]
A0A0G2Q9G0	N/A,,N/A,,N/A,,N/A
A0A0G2Q9H1	N/A,,N/A,,N/A,,N/A
A0A0G2Q9H2	N/A,,N/A,,N/A,,N/A
A0A0G2Q9I7	11,,425,,MF_00210,,EPSP_synth,,3-phosphoshikimate 1-carboxyvinyltransferase [aroA]
A0A0G2Q9K0	N/A,,N/A,,N/A,,N/A
A0A0G2Q9L2	N/A,,N/A,,N/A,,N/A
A0A0G2Q9N7	N/A,,N/A,,N/A,,N/A
A0A0G2Q9N9	N/A,,N/A,,N/A,,N/A
A0A0H0YCP0	1,,280,,MF_00050,,EF_Ts,,Elongation factor Ts, mitochondrial [TSFM]
A0A0H0YG72	N/A,,N/A,,N/A,,N/A
A0A0H0YGD0	2,,316,,MF_00492,,Transaldolase_1,,Transaldolase [tal]
A0A0H1NRE3	N/A,,N/A,,N/A,,N/A
A0A0H1XJQ7	N/A,,N/A,,N/A,,N/A
A0A0H2UQ40	2,,280,,MF_01974,,MetAP_1,,Methionine aminopeptidase 1, mitochondrial
A0A0H2USC0	N/A,,N/A,,N/A,,N/A
A0A0H2USF2	N/A,,N/A,,N/A,,N/A
A0A0H2USF3	N/A,,N/A,,N/A,,N/A
A0A0H2USG1	N/A,,N/A,,N/A,,N/A
A0A0H2USH9	N/A,,N/A,,N/A,,N/A
A0A0H2USM2	N/A,,N/A,,N/A,,N/A
A0A0H2USP0	N/A,,N/A,,N/A,,N/A
A0A0H2USP5	N/A,,N/A,,N/A,,N/A
A0A0H2USS8	N/A,,N/A,,N/A,,N/A
A0A0H2UWW5	N/A,,N/A,,N/A,,N/A
A0A0H2UWZ6	N/A,,N/A,,N/A,,N/A
A0A0H2UX03	N/A,,N/A,,N/A,,N/A
A0A0H2UX23	N/A,,N/A,,N/A,,N/A
A0A0H2UX29	N/A,,N/A,,N/A,,N/A
A0A0H2UX95	N/A,,N/A,,N/A,,N/A
A0A0H2UXE8	N/A,,N/A,,N/A,,N/A
A0A0H2UXR4	N/A,,N/A,,N/A,,N/A
A0A0H2UXU2	N/A,,N/A,,N/A,,N/A
A0A0H2UXV0	N/A,,N/A,,N/A,,N/A
A0A0H2UXW2	N/A,,N/A,,N/A,,N/A
A0A0H2UY03	N/A,,N/A,,N/A,,N/A
A0A0H2UY50	N/A,,N/A,,N/A,,N/A
A0A0H2UY62	N/A,,N/A,,N/A,,N/A
A0A0H2UY65	N/A,,N/A,,N/A,,N/A
A0A0H2UY89	N/A,,N/A,,N/A,,N/A
A0A0H2UY99	N/A,,N/A,,N/A,,N/A
A0A0H2UYA8	N/A,,N/A,,N/A,,N/A
A0A0H2UYC2	N/A,,N/A,,N/A,,N/A
A0A0H2UYC3	N/A,,N/A,,N/A,,N/A
A0A0H2UYD2	N/A,,N/A,,N/A,,N/A
A0A0H2UYJ4	N/A,,N/A,,N/A,,N/A
A0A0H2UYP6	N/A,,N/A,,N/A,,N/A
A0A0H2UYV7	N/A,,N/A,,N/A,,N/A
A0A0H2UYY2	N/A,,N/A,,N/A,,N/A
A0A0H2UYY3	3,,732,,MF_00952,,Topoisom_1_prok,,DNA topoisomerase 1 [topA]
A0A0H2UYY9	N/A,,N/A,,N/A,,N/A
A0A0H2UZ04	N/A,,N/A,,N/A,,N/A
A0A0H2UZ60	N/A,,N/A,,N/A,,N/A
A0A0H2UZ75	N/A,,N/A,,N/A,,N/A
A0A0H2UZI2	N/A,,N/A,,N/A,,N/A
A0A0H2UZL0	N/A,,N/A,,N/A,,N/A
A0A0H2UZM7	N/A,,N/A,,N/A,,N/A
A0A0H2UZP6	N/A,,N/A,,N/A,,N/A
A0A0H2UZP8	N/A,,N/A,,N/A,,N/A
A0A0H2UZQ6	N/A,,N/A,,N/A,,N/A
A0A0H2UZT5	N/A,,N/A,,N/A,,N/A
A0A0H2UZX5	N/A,,N/A,,N/A,,N/A
A0A0H2UZZ8	N/A,,N/A,,N/A,,N/A
A0A0H2V013	1,,1046,,MF_00970,,RNase_E,,Ribonuclease E [rne]
A0A0H2V042	N/A,,N/A,,N/A,,N/A
A0A0H2V062	N/A,,N/A,,N/A,,N/A
A0A0H2V075	N/A,,N/A,,N/A,,N/A
A0A0H2V0B5	N/A,,N/A,,N/A,,N/A
A0A0H2V0C3	3,,484,,MF_01932,,AMP_nucleosidase,,AMP nucleosidase [amn]
A0A0H2V0C8	N/A,,N/A,,N/A,,N/A
A0A0H2V0D7	N/A,,N/A,,N/A,,N/A
A0A0H2V0E5	N/A,,N/A,,N/A,,N/A
A0A0H2V0F8	N/A,,N/A,,N/A,,N/A
A0A0H2V0J1	N/A,,N/A,,N/A,,N/A
A0A0H2V0L8	15,,309,,MF_01876,,PsiMP_glycosidase,,Pseudouridine-5'-phosphate glycosidase [psuG]
A0A0H2V0M8	N/A,,N/A,,N/A,,N/A
A0A0H2V0Q5	N/A,,N/A,,N/A,,N/A
A0A0H2V0R7	N/A,,N/A,,N/A,,N/A
A0A0H2V0T8	1,,400,,MF_00020,,Acetate_kinase,,Probable acetate kinase
A0A0H2V0W2	N/A,,N/A,,N/A,,N/A
A0A0H2V0Y6	N/A,,N/A,,N/A,,N/A
A0A0H2V0Z7	N/A,,N/A,,N/A,,N/A
A0A0H2V104	N/A,,N/A,,N/A,,N/A
A0A0H2V107	N/A,,N/A,,N/A,,N/A
A0A0H2V132	2,,461,,MF_00195,,GTPase_Der,,GTPase Der [der]
A0A0H2V137	N/A,,N/A,,N/A,,N/A
A0A0H2V170	N/A,,N/A,,N/A,,N/A
A0A0H2V179	N/A,,N/A,,N/A,,N/A
A0A0H2V1A9	6,,683,,MF_00347,,Polyphosphate_kinase,,Polyphosphate kinase [ppk]
A0A0H2V1B5	1,,446,,MF_00578,,Glu_cys_ligase,,Glutamate--cysteine ligase [gshA]
A0A0H2V1E3	N/A,,N/A,,N/A,,N/A
A0A0H2V1J2	N/A,,N/A,,N/A,,N/A
A0A0H2V1J5	N/A,,N/A,,N/A,,N/A
A0A0H2V1M4	N/A,,N/A,,N/A,,N/A
A0A0H2V1N8	N/A,,N/A,,N/A,,N/A
A0A0H2V1P4	N/A,,N/A,,N/A,,N/A
A0A0H2V1Q4	N/A,,N/A,,N/A,,N/A
A0A0H2V1U5	N/A,,N/A,,N/A,,N/A
A0A0H2V1V4	N/A,,N/A,,N/A,,N/A
A0A0H2V1V9	N/A,,N/A,,N/A,,N/A
A0A0H2V1Z0	N/A,,N/A,,N/A,,N/A
A0A0H2V203	N/A,,N/A,,N/A,,N/A
A0A0H2V252	N/A,,N/A,,N/A,,N/A
A0A0H2V292	N/A,,N/A,,N/A,,N/A
A0A0H2V2A5	N/A,,N/A,,N/A,,N/A
A0A0H2V2A8	2,,523,,MF_02031,,Galactar_dehydrat,,Galactarate dehydratase (L-threo-forming) [garD]
A0A0H2V2B5	N/A,,N/A,,N/A,,N/A
A0A0H2V2L0	N/A,,N/A,,N/A,,N/A
A0A0H2V2S3	N/A,,N/A,,N/A,,N/A
A0A0H2V2U9	N/A,,N/A,,N/A,,N/A
A0A0H2V2V7	N/A,,N/A,,N/A,,N/A
A0A0H2V2Y1	N/A,,N/A,,N/A,,N/A
A0A0H2V2Y7	N/A,,N/A,,N/A,,N/A
A0A0H2V2Z3	N/A,,N/A,,N/A,,N/A
A0A0H2V371	N/A,,N/A,,N/A,,N/A
A0A0H2V3A5	N/A,,N/A,,N/A,,N/A
A0A0H2V3C6	N/A,,N/A,,N/A,,N/A
A0A0H2V3I9	N/A,,N/A,,N/A,,N/A
A0A0H2V3M4	N/A,,N/A,,N/A,,N/A
A0A0H2V3M9	N/A,,N/A,,N/A,,N/A
A0A0H2V3N4	N/A,,N/A,,N/A,,N/A
A0A0H2V3P9	N/A,,N/A,,N/A,,N/A
A0A0H2V3Q5	N/A,,N/A,,N/A,,N/A
A0A0H2V3S2	N/A,,N/A,,N/A,,N/A
A0A0H2V3S3	N/A,,N/A,,N/A,,N/A
A0A0H2V3V0	N/A,,N/A,,N/A,,N/A
A0A0H2V407	N/A,,N/A,,N/A,,N/A
A0A0H2V442	N/A,,N/A,,N/A,,N/A
A0A0H2V488	N/A,,N/A,,N/A,,N/A
A0A0H2V555	N/A,,N/A,,N/A,,N/A
A0A0H2V5C4	N/A,,N/A,,N/A,,N/A
A0A0H2V5L0	N/A,,N/A,,N/A,,N/A
A0A0H2VSM9	N/A,,N/A,,N/A,,N/A
A0A0H2VSS8	N/A,,N/A,,N/A,,N/A
A0A0H2VT45	N/A,,N/A,,N/A,,N/A
A0A0H2VT54	N/A,,N/A,,N/A,,N/A
A0A0H2VT81	N/A,,N/A,,N/A,,N/A
A0A0H2VTA6	N/A,,N/A,,N/A,,N/A
A0A0H2VTF9	N/A,,N/A,,N/A,,N/A
A0A0H2VTI8	N/A,,N/A,,N/A,,N/A
A0A0H2VTK0	N/A,,N/A,,N/A,,N/A
A0A0H2VTU0	N/A,,N/A,,N/A,,N/A
A0A0H2VTW3	N/A,,N/A,,N/A,,N/A
A0A0H2VTY7	N/A,,N/A,,N/A,,N/A
A0A0H2VTZ4	N/A,,N/A,,N/A,,N/A
A0A0H2VUP7	N/A,,N/A,,N/A,,N/A
A0A0H2VUT9	N/A,,N/A,,N/A,,N/A
A0A0H2VUW9	2,,356,,MF_01201,,Ala_racemase,,Alanine racemase
A0A0H2VUZ8	N/A,,N/A,,N/A,,N/A
A0A0H2VV08	256,,453,,MF_00135,,PRAI,,N-(5'-phosphoribosyl)anthranilate isomerase [trpF]
A0A0H2VV29	11,,772,,MF_01973,,lon_bact,,Lon protease [lon]
A0A0H2VV39	N/A,,N/A,,N/A,,N/A
A0A0H2VV44	N/A,,N/A,,N/A,,N/A
A0A0H2VV48	N/A,,N/A,,N/A,,N/A
A0A0H2VVB7	N/A,,N/A,,N/A,,N/A
A0A0H2VVC0	N/A,,N/A,,N/A,,N/A
A0A0H2VVD2	N/A,,N/A,,N/A,,N/A
A0A0H2VVG5	N/A,,N/A,,N/A,,N/A
A0A0H2VVI1	N/A,,N/A,,N/A,,N/A
A0A0H2VVP2	N/A,,N/A,,N/A,,N/A
A0A0H2VVS9	N/A,,N/A,,N/A,,N/A
A0A0H2VVU1	N/A,,N/A,,N/A,,N/A
A0A0H2VW13	2,,255,,MF_02057,,tRNA_methyltr_CmoM,,tRNA 5-carboxymethoxyuridine methyltransferase [cmoM]
A0A0H2VW22	N/A,,N/A,,N/A,,N/A
A0A0H2VW26	N/A,,N/A,,N/A,,N/A
A0A0H2VW51	N/A,,N/A,,N/A,,N/A
A0A0H2VWL1	N/A,,N/A,,N/A,,N/A
A0A0H2VWM2	N/A,,N/A,,N/A,,N/A
A0A0H2VX20	N/A,,N/A,,N/A,,N/A
A0A0H2VX23	N/A,,N/A,,N/A,,N/A
A0A0H2VX42	N/A,,N/A,,N/A,,N/A
A0A0H2VX83	N/A,,N/A,,N/A,,N/A
A0A0H2VXB8	N/A,,N/A,,N/A,,N/A
A0A0H2VXH5	N/A,,N/A,,N/A,,N/A
A0A0H2VXM7	N/A,,N/A,,N/A,,N/A
A0A0H2VXW3	N/A,,N/A,,N/A,,N/A
A0A0H2VXW8	N/A,,N/A,,N/A,,N/A
A0A0H2VXY8	30,,388,,MF_02028,,WecB_RffE,,UDP-N-acetylglucosamine 2-epimerase [wecB]
A0A0H2VXZ9	N/A,,N/A,,N/A,,N/A
A0A0H2VY02	N/A,,N/A,,N/A,,N/A
A0A0H2VY20	N/A,,N/A,,N/A,,N/A
A0A0H2VY68	N/A,,N/A,,N/A,,N/A
A0A0H2VYF0	N/A,,N/A,,N/A,,N/A
A0A0H2VYF7	N/A,,N/A,,N/A,,N/A
A0A0H2VYP7	N/A,,N/A,,N/A,,N/A
A0A0H2VYQ8	N/A,,N/A,,N/A,,N/A
A0A0H2VYU4	N/A,,N/A,,N/A,,N/A
A0A0H2VYX6	N/A,,N/A,,N/A,,N/A
A0A0H2VZ63	N/A,,N/A,,N/A,,N/A
A0A0H2VZN3	2,,628,,MF_00938,,ParE_type1,,DNA topoisomerase 4 subunit B [parE]
A0A0H2VZP1	N/A,,N/A,,N/A,,N/A
A0A0H2VZQ5	N/A,,N/A,,N/A,,N/A
A0A0H2VZS4	N/A,,N/A,,N/A,,N/A
A0A0H2VZY7	27,,390,,MF_00900,,GTPase_HflX,,GTPase HflX [hflX]
A0A0H2W006	N/A,,N/A,,N/A,,N/A
A0A0H2W0B9	N/A,,N/A,,N/A,,N/A
A0A0H2W0C8	1,,668,,MF_01920,,Helicase_Rep,,ATP-dependent DNA helicase Rep [rep]
A0A0H2W0D3	N/A,,N/A,,N/A,,N/A
A0A0H2W0I3	N/A,,N/A,,N/A,,N/A
A0A0H2W0M7	N/A,,N/A,,N/A,,N/A
A0A0H2W0U1	N/A,,N/A,,N/A,,N/A
A0A0H2W120	N/A,,N/A,,N/A,,N/A
A0A0H2WVE0	22,,711,,MF_01895,,RNase_R,,Ribonuclease R [rnr]
A0A0H2WVJ7	N/A,,N/A,,N/A,,N/A
A0A0H2WVT9	N/A,,N/A,,N/A,,N/A
A0A0H2WVU2	N/A,,N/A,,N/A,,N/A
A0A0H2WVX8	N/A,,N/A,,N/A,,N/A
A0A0H2WW08	N/A,,N/A,,N/A,,N/A
A0A0H2WW42	N/A,,N/A,,N/A,,N/A
A0A0H2WW50	N/A,,N/A,,N/A,,N/A
A0A0H2WW54	9,,491,,MF_00966,,G6PD,,Glucose-6-phosphate 1-dehydrogenase [zwf]
A0A0H2WW67	N/A,,N/A,,N/A,,N/A
A0A0H2WW68	N/A,,N/A,,N/A,,N/A
A0A0H2WW75	N/A,,N/A,,N/A,,N/A
A0A0H2WWC0	N/A,,N/A,,N/A,,N/A
A0A0H2WWE9	N/A,,N/A,,N/A,,N/A
A0A0H2WWF0	N/A,,N/A,,N/A,,N/A
A0A0H2WWF4	N/A,,N/A,,N/A,,N/A
A0A0H2WWN8	N/A,,N/A,,N/A,,N/A
A0A0H2WWP2	N/A,,N/A,,N/A,,N/A
A0A0H2WWR5	N/A,,N/A,,N/A,,N/A
A0A0H2WWV4	N/A,,N/A,,N/A,,N/A
A0A0H2WWV6	N/A,,N/A,,N/A,,N/A
A0A0H2WWV7	N/A,,N/A,,N/A,,N/A
A0A0H2WWY8	N/A,,N/A,,N/A,,N/A
A0A0H2WX02	N/A,,N/A,,N/A,,N/A
A0A0H2WX21	N/A,,N/A,,N/A,,N/A
A0A0H2WX37	N/A,,N/A,,N/A,,N/A
A0A0H2WX88	N/A,,N/A,,N/A,,N/A
A0A0H2WXA4	N/A,,N/A,,N/A,,N/A
A0A0H2WXA5	N/A,,N/A,,N/A,,N/A
A0A0H2WXB1	N/A,,N/A,,N/A,,N/A
A0A0H2WXB4	N/A,,N/A,,N/A,,N/A
A0A0H2WXD9	N/A,,N/A,,N/A,,N/A
A0A0H2WXE3	N/A,,N/A,,N/A,,N/A
A0A0H2WXT4	N/A,,N/A,,N/A,,N/A
A0A0H2WXU4	N/A,,N/A,,N/A,,N/A
A0A0H2WY00	N/A,,N/A,,N/A,,N/A
A0A0H2WY40	N/A,,N/A,,N/A,,N/A
A0A0H2WY61	N/A,,N/A,,N/A,,N/A
A0A0H2WYD2	N/A,,N/A,,N/A,,N/A
A0A0H2WYE2	N/A,,N/A,,N/A,,N/A
A0A0H2WYH9	N/A,,N/A,,N/A,,N/A
A0A0H2WYJ9	N/A,,N/A,,N/A,,N/A
A0A0H2WYM6	N/A,,N/A,,N/A,,N/A
A0A0H2WYP2	6,,448,,MF_00306,,SRP54,,Signal recognition particle 54 kDa protein [srp54]
A0A0H2WYT5	N/A,,N/A,,N/A,,N/A
A0A0H2WYV4	N/A,,N/A,,N/A,,N/A
A0A0H2WYW1	N/A,,N/A,,N/A,,N/A
A0A0H2WYW9	N/A,,N/A,,N/A,,N/A
A0A0H2WZ06	N/A,,N/A,,N/A,,N/A
A0A0H2WZ29	N/A,,N/A,,N/A,,N/A
A0A0H2WZ39	N/A,,N/A,,N/A,,N/A
A0A0H2WZ77	N/A,,N/A,,N/A,,N/A
A0A0H2WZ86	N/A,,N/A,,N/A,,N/A
A0A0H2WZB1	3,,390,,MF_00945_B,,NusA,,Transcription termination/antitermination protein NusA [nusA]
A0A0H2WZC2	N/A,,N/A,,N/A,,N/A
A0A0H2WZF0	N/A,,N/A,,N/A,,N/A
A0A0H2WZG1	N/A,,N/A,,N/A,,N/A
A0A0H2WZG9	N/A,,N/A,,N/A,,N/A
A0A0H2WZJ1	N/A,,N/A,,N/A,,N/A
A0A0H2WZL1	N/A,,N/A,,N/A,,N/A
A0A0H2WZM0	N/A,,N/A,,N/A,,N/A
A0A0H2WZQ6	N/A,,N/A,,N/A,,N/A
A0A0H2WZW3	N/A,,N/A,,N/A,,N/A
A0A0H2WZX2	N/A,,N/A,,N/A,,N/A
A0A0H2WZY6	N/A,,N/A,,N/A,,N/A
A0A0H2WZZ2	N/A,,N/A,,N/A,,N/A
A0A0H2X027	N/A,,N/A,,N/A,,N/A
A0A0H2X029	N/A,,N/A,,N/A,,N/A
A0A0H2X037	N/A,,N/A,,N/A,,N/A
A0A0H2X0A1	N/A,,N/A,,N/A,,N/A
A0A0H2X0B5	N/A,,N/A,,N/A,,N/A
A0A0H2X0C4	N/A,,N/A,,N/A,,N/A
A0A0H2X1A6	1,,341,,MF_02069,,TarJ,,Ribulose-5-phosphate reductase [tarJ]
A0A0H2X1G4	N/A,,N/A,,N/A,,N/A
A0A0H2YY22	1,,337,,MF_00958,,RssB,,Regulator of RpoS [rssB]
A0A0H2Z6P1	N/A,,N/A,,N/A,,N/A
A0A0H2Z6X6	N/A,,N/A,,N/A,,N/A
A0A0H2Z7B7	N/A,,N/A,,N/A,,N/A
A0A0H2Z892	N/A,,N/A,,N/A,,N/A
A0A0H2Z8T0	N/A,,N/A,,N/A,,N/A
A0A0H2Z968	N/A,,N/A,,N/A,,N/A
A0A0H2Z9A9	4,,344,,MF_00625,,SelD,,Selenide, water dikinase [selD]
A0A0H2Z9C3	N/A,,N/A,,N/A,,N/A
A0A0H2Z9M5	N/A,,N/A,,N/A,,N/A
A0A0H2Z9S0	N/A,,N/A,,N/A,,N/A
A0A0H2Z9U4	N/A,,N/A,,N/A,,N/A
