Protein	ID,,Description
A0A0E0UB34	smq00330,,Arginine and proline metabolism
A0A0E0UB51	smq03010,,Ribosome
A0A0E0UBA4	smq03018,,RNA degradation
A0A0E0UBD5	N/A,,N/A
A0A0E0UBD6	smq00010,,Glycolysis / Gluconeogenesis;;smq00020,,Citrate cycle (TCA cycle);;smq00620,,Pyruvate metabolism;;smq01100,,Metabolic pathways;;smq01110,,Biosynthesis of secondary metabolites;;smq01120,,Microbial metabolism in diverse environments;;smq01130,,Biosynthesis of antibiotics;;smq01200,,Carbon metabolism
A0A0E0UBH9	smq03018,,RNA degradation
A0A0E0UBL6	N/A,,N/A
A0A0E0UBP0	smq00020,,Citrate cycle (TCA cycle);;smq00630,,Glyoxylate and dicarboxylate metabolism;;smq01100,,Metabolic pathways;;smq01110,,Biosynthesis of secondary metabolites;;smq01120,,Microbial metabolism in diverse environments;;smq01130,,Biosynthesis of antibiotics;;smq01200,,Carbon metabolism;;smq01210,,2-Oxocarboxylic acid metabolism;;smq01230,,Biosynthesis of amino acids
A0A0E0UBU7	smq00230,,Purine metabolism;;smq01100,,Metabolic pathways;;smq01110,,Biosynthesis of secondary metabolites;;smq01130,,Biosynthesis of antibiotics
A0A0E0UBV5	N/A,,N/A
A0A0E0UBX6	smq00260,,Glycine, serine and threonine metabolism;;smq00460,,Cyanoamino acid metabolism;;smq00630,,Glyoxylate and dicarboxylate metabolism;;smq00670,,One carbon pool by folate;;smq00680,,Methane metabolism;;smq01100,,Metabolic pathways;;smq01110,,Biosynthesis of secondary metabolites;;smq01120,,Microbial metabolism in diverse environments;;smq01130,,Biosynthesis of antibiotics;;smq01200,,Carbon metabolism;;smq01230,,Biosynthesis of amino acids
A0A0E0UC24	N/A,,N/A
A0A0E0UCM8	smq00010,,Glycolysis / Gluconeogenesis;;smq00020,,Citrate cycle (TCA cycle);;smq00620,,Pyruvate metabolism;;smq01100,,Metabolic pathways;;smq01110,,Biosynthesis of secondary metabolites;;smq01120,,Microbial metabolism in diverse environments;;smq01130,,Biosynthesis of antibiotics;;smq01200,,Carbon metabolism
A0A0E0UCS0	smq00230,,Purine metabolism;;smq01100,,Metabolic pathways;;smq01110,,Biosynthesis of secondary metabolites;;smq01130,,Biosynthesis of antibiotics
A0A0E0UCT0	N/A,,N/A
A0A0E0UCT8	N/A,,N/A
A0A0E0UCU7	smq00240,,Pyrimidine metabolism
A0A0E0UCU9	smq00240,,Pyrimidine metabolism;;smq01100,,Metabolic pathways
A0A0E0UCV1	N/A,,N/A
A0A0E0UCX8	N/A,,N/A
A0A0E0UCY2	N/A,,N/A
A0A0E0UD17	smq00860,,Porphyrin and chlorophyll metabolism;;smq01100,,Metabolic pathways
A0A0E0UD69	smq00230,,Purine metabolism;;smq00250,,Alanine, aspartate and glutamate metabolism;;smq01100,,Metabolic pathways;;smq01110,,Biosynthesis of secondary metabolites;;smq01130,,Biosynthesis of antibiotics
A0A0E0UD90	smq00230,,Purine metabolism;;smq01100,,Metabolic pathways;;smq01110,,Biosynthesis of secondary metabolites;;smq01130,,Biosynthesis of antibiotics
A0A0E0UD97	N/A,,N/A
A0A0E0UDD5	smq00190,,Oxidative phosphorylation;;smq01100,,Metabolic pathways;;smq02020,,Two-component system
A0A0E0UDL4	N/A,,N/A
A0A0E0UDW5	N/A,,N/A
A0A0E0UEF9	smq03010,,Ribosome
A0A0E0UEH3	smq03420,,Nucleotide excision repair;;smq03430,,Mismatch repair
A0A0E0UET8	N/A,,N/A
A0A0E0UEW7	N/A,,N/A
A0A0E0UEX4	smq02010,,ABC transporters;;smq02024,,Quorum sensing
A0A0E0UFF6	smq03010,,Ribosome
A0A0E0UFH5	smq00230,,Purine metabolism;;smq01100,,Metabolic pathways;;smq01110,,Biosynthesis of secondary metabolites
A0A0E0UFJ1	smq00860,,Porphyrin and chlorophyll metabolism;;smq01100,,Metabolic pathways
A0A0E0UFL2	smq00520,,Amino sugar and nucleotide sugar metabolism;;smq01100,,Metabolic pathways;;smq01130,,Biosynthesis of antibiotics
A0A0E0UG10	N/A,,N/A
A0A0E0UG46	N/A,,N/A
A0A0E0UGD4	smq00020,,Citrate cycle (TCA cycle);;smq00640,,Propanoate metabolism;;smq00660,,C5-Branched dibasic acid metabolism;;smq01100,,Metabolic pathways;;smq01110,,Biosynthesis of secondary metabolites;;smq01120,,Microbial metabolism in diverse environments;;smq01130,,Biosynthesis of antibiotics;;smq01200,,Carbon metabolism
A0A0E0UGI2	N/A,,N/A
A0A0E0UGL8	smq00010,,Glycolysis / Gluconeogenesis;;smq00030,,Pentose phosphate pathway;;smq00052,,Galactose metabolism;;smq00230,,Purine metabolism;;smq00500,,Starch and sucrose metabolism;;smq00520,,Amino sugar and nucleotide sugar metabolism;;smq00521,,Streptomycin biosynthesis;;smq01100,,Metabolic pathways;;smq01110,,Biosynthesis of secondary metabolites;;smq01120,,Microbial metabolism in diverse environments;;smq01130,,Biosynthesis of antibiotics
A0A0E0UH56	smq00020,,Citrate cycle (TCA cycle);;smq00640,,Propanoate metabolism;;smq00660,,C5-Branched dibasic acid metabolism;;smq01100,,Metabolic pathways;;smq01110,,Biosynthesis of secondary metabolites;;smq01120,,Microbial metabolism in diverse environments;;smq01130,,Biosynthesis of antibiotics;;smq01200,,Carbon metabolism
A0A0E0UHM0	N/A,,N/A
A0A0E0UHQ8	smq03010,,Ribosome
A0A0E0UHT8	smq03018,,RNA degradation
A0A0E0UHU9	smq03010,,Ribosome
A0A0E0UHV7	smq00400,,Phenylalanine, tyrosine and tryptophan biosynthesis;;smq01100,,Metabolic pathways;;smq01110,,Biosynthesis of secondary metabolites;;smq01130,,Biosynthesis of antibiotics;;smq01230,,Biosynthesis of amino acids
A0A0E0UI25	N/A,,N/A
A0A0E0UI36	smq00970,,Aminoacyl-tRNA biosynthesis
A0A0E0UIH3	smq03018,,RNA degradation
A0A0E0UII0	N/A,,N/A
A0A0E0UIQ4	smq00052,,Galactose metabolism;;smq00520,,Amino sugar and nucleotide sugar metabolism;;smq01100,,Metabolic pathways
A0A0E0UJ54	N/A,,N/A
A0A0E0UJ98	smq03018,,RNA degradation
A0A0E0UJC1	smq03018,,RNA degradation
A0A0E0UKM9	N/A,,N/A
A0A0E0UKN7	smq00625,,Chloroalkane and chloroalkene degradation;;smq00910,,Nitrogen metabolism;;smq01100,,Metabolic pathways;;smq01120,,Microbial metabolism in diverse environments
A0A0E0UKP1	N/A,,N/A
A0A0E0UKY1	N/A,,N/A
A0A0E0UL81	N/A,,N/A
A0A0E0ULB5	N/A,,N/A
A0A0E0ULH8	smq00625,,Chloroalkane and chloroalkene degradation;;smq00910,,Nitrogen metabolism;;smq01100,,Metabolic pathways;;smq01120,,Microbial metabolism in diverse environments
A0A0E0UN93	smq01501,,beta-Lactam resistance;;smq02020,,Two-component system
A0A0E0UN97	N/A,,N/A
A0A0E0UNG4	smq00340,,Histidine metabolism;;smq01100,,Metabolic pathways
A0A0E0UNJ4	N/A,,N/A
A0A0E0UNP3	smq03018,,RNA degradation
A0A0E0UPG1	N/A,,N/A
A0A0E0UPL1	N/A,,N/A
A0A0E0UPR3	N/A,,N/A
A0A0E0UPR9	N/A,,N/A
A0A0E0UPX2	N/A,,N/A
A0A0E0UQ72	N/A,,N/A
A0A0E0UQG5	smq00521,,Streptomycin biosynthesis;;smq00562,,Inositol phosphate metabolism;;smq01100,,Metabolic pathways;;smq01130,,Biosynthesis of antibiotics
A0A0E0URT6	N/A,,N/A
A0A0E0UW41	N/A,,N/A
A0A0E0UWC2	lmq00010,,Glycolysis / Gluconeogenesis;;lmq00230,,Purine metabolism;;lmq00620,,Pyruvate metabolism;;lmq01100,,Metabolic pathways;;lmq01110,,Biosynthesis of secondary metabolites;;lmq01120,,Microbial metabolism in diverse environments;;lmq01130,,Biosynthesis of antibiotics;;lmq01200,,Carbon metabolism;;lmq01230,,Biosynthesis of amino acids
A0A0E1EET6	N/A,,N/A
A0A0E1EL42	sage02024,,Quorum sensing;;sage03060,,Protein export;;sage03070,,Bacterial secretion system
A0A0E1EN14	sage00010,,Glycolysis / Gluconeogenesis;;sage00030,,Pentose phosphate pathway;;sage00052,,Galactose metabolism;;sage00230,,Purine metabolism;;sage00500,,Starch and sucrose metabolism;;sage00520,,Amino sugar and nucleotide sugar metabolism;;sage00521,,Streptomycin biosynthesis;;sage01100,,Metabolic pathways;;sage01110,,Biosynthesis of secondary metabolites;;sage01120,,Microbial metabolism in diverse environments;;sage01130,,Biosynthesis of antibiotics
A0A0E1R974	lmog00270,,Cysteine and methionine metabolism;;lmog00920,,Sulfur metabolism;;lmog01100,,Metabolic pathways;;lmog01110,,Biosynthesis of secondary metabolites;;lmog01120,,Microbial metabolism in diverse environments;;lmog01130,,Biosynthesis of antibiotics;;lmog01200,,Carbon metabolism;;lmog01230,,Biosynthesis of amino acids
A0A0E1Y3Q6	N/A,,N/A
A0A0E2CSW4	N/A,,N/A
A0A0E2D3A7	N/A,,N/A
A0A0E3CNN1	N/A,,N/A
A0A0E3CRJ7	N/A,,N/A
A0A0F0JYS2	N/A,,N/A
A0A0F6P9K5	N/A,,N/A
A0A0G2PF30	mbb02024,,Quorum sensing;;mbb03060,,Protein export;;mbb03070,,Bacterial secretion system
A0A0G2Q9D4	mbb03030,,DNA replication;;mbb03430,,Mismatch repair;;mbb03440,,Homologous recombination
A0A0G2Q9D8	N/A,,N/A
A0A0G2Q9E8	N/A,,N/A
A0A0G2Q9E9	N/A,,N/A
A0A0G2Q9F8	N/A,,N/A
A0A0G2Q9F9	N/A,,N/A
A0A0G2Q9G0	mbb01503,,Cationic antimicrobial peptide (CAMP) resistance
A0A0G2Q9H1	N/A,,N/A
A0A0G2Q9H2	mbb00130,,Ubiquinone and other terpenoid-quinone biosynthesis;;mbb01053,,Biosynthesis of siderophore group nonribosomal peptides;;mbb01100,,Metabolic pathways;;mbb01110,,Biosynthesis of secondary metabolites;;mbb01130,,Biosynthesis of antibiotics
A0A0G2Q9I7	mbb00400,,Phenylalanine, tyrosine and tryptophan biosynthesis;;mbb01100,,Metabolic pathways;;mbb01110,,Biosynthesis of secondary metabolites;;mbb01130,,Biosynthesis of antibiotics;;mbb01230,,Biosynthesis of amino acids
A0A0G2Q9K0	N/A,,N/A
A0A0G2Q9L2	N/A,,N/A
A0A0G2Q9N7	mbb00450,,Selenocompound metabolism
A0A0G2Q9N9	N/A,,N/A
A0A0H0YCP0	N/A,,N/A
A0A0H0YG72	N/A,,N/A
A0A0H0YGD0	N/A,,N/A
A0A0H1NRE3	N/A,,N/A
A0A0H1XJQ7	N/A,,N/A
A0A0H2UQ40	N/A,,N/A
A0A0H2USC0	N/A,,N/A
A0A0H2USF2	N/A,,N/A
A0A0H2USF3	N/A,,N/A
A0A0H2USG1	N/A,,N/A
A0A0H2USH9	N/A,,N/A
A0A0H2USM2	N/A,,N/A
A0A0H2USP0	N/A,,N/A
A0A0H2USP5	N/A,,N/A
A0A0H2USS8	N/A,,N/A
A0A0H2UWW5	N/A,,N/A
A0A0H2UWZ6	N/A,,N/A
A0A0H2UX03	sfl00020,,Citrate cycle (TCA cycle);;sfl00630,,Glyoxylate and dicarboxylate metabolism;;sfl00640,,Propanoate metabolism;;sfl01100,,Metabolic pathways;;sfl01110,,Biosynthesis of secondary metabolites;;sfl01120,,Microbial metabolism in diverse environments;;sfl01130,,Biosynthesis of antibiotics;;sfl01200,,Carbon metabolism;;sfl01210,,2-Oxocarboxylic acid metabolism;;sfl01230,,Biosynthesis of amino acids
A0A0H2UX23	N/A,,N/A
A0A0H2UX29	N/A,,N/A
A0A0H2UX95	N/A,,N/A
A0A0H2UXE8	N/A,,N/A
A0A0H2UXR4	sfl02020,,Two-component system
A0A0H2UXU2	sfl00020,,Citrate cycle (TCA cycle);;sfl00630,,Glyoxylate and dicarboxylate metabolism;;sfl01100,,Metabolic pathways;;sfl01110,,Biosynthesis of secondary metabolites;;sfl01120,,Microbial metabolism in diverse environments;;sfl01130,,Biosynthesis of antibiotics;;sfl01200,,Carbon metabolism;;sfl01210,,2-Oxocarboxylic acid metabolism;;sfl01230,,Biosynthesis of amino acids
A0A0H2UXV0	sfl00010,,Glycolysis / Gluconeogenesis;;sfl00030,,Pentose phosphate pathway;;sfl00052,,Galactose metabolism;;sfl00230,,Purine metabolism;;sfl00500,,Starch and sucrose metabolism;;sfl00520,,Amino sugar and nucleotide sugar metabolism;;sfl00521,,Streptomycin biosynthesis;;sfl01100,,Metabolic pathways;;sfl01110,,Biosynthesis of secondary metabolites;;sfl01120,,Microbial metabolism in diverse environments;;sfl01130,,Biosynthesis of antibiotics
A0A0H2UXW2	N/A,,N/A
A0A0H2UY03	N/A,,N/A
A0A0H2UY50	sfl00740,,Riboflavin metabolism;;sfl01100,,Metabolic pathways;;sfl01110,,Biosynthesis of secondary metabolites
A0A0H2UY62	sfl04122,,Sulfur relay system
A0A0H2UY65	N/A,,N/A
A0A0H2UY89	sfl00620,,Pyruvate metabolism
A0A0H2UY99	N/A,,N/A
A0A0H2UYA8	N/A,,N/A
A0A0H2UYC2	N/A,,N/A
A0A0H2UYC3	N/A,,N/A
A0A0H2UYD2	N/A,,N/A
A0A0H2UYJ4	N/A,,N/A
A0A0H2UYP6	sfl00790,,Folate biosynthesis
A0A0H2UYV7	sfl00910,,Nitrogen metabolism;;sfl01120,,Microbial metabolism in diverse environments;;sfl02020,,Two-component system
A0A0H2UYY2	N/A,,N/A
A0A0H2UYY3	N/A,,N/A
A0A0H2UYY9	N/A,,N/A
A0A0H2UZ04	N/A,,N/A
A0A0H2UZ60	N/A,,N/A
A0A0H2UZ75	N/A,,N/A
A0A0H2UZI2	N/A,,N/A
A0A0H2UZL0	sfl00020,,Citrate cycle (TCA cycle);;sfl00620,,Pyruvate metabolism;;sfl01100,,Metabolic pathways;;sfl01110,,Biosynthesis of secondary metabolites;;sfl01120,,Microbial metabolism in diverse environments;;sfl01130,,Biosynthesis of antibiotics;;sfl01200,,Carbon metabolism
A0A0H2UZM7	N/A,,N/A
A0A0H2UZP6	sfl00480,,Glutathione metabolism
A0A0H2UZP8	sfl00020,,Citrate cycle (TCA cycle);;sfl00630,,Glyoxylate and dicarboxylate metabolism;;sfl01100,,Metabolic pathways;;sfl01110,,Biosynthesis of secondary metabolites;;sfl01120,,Microbial metabolism in diverse environments;;sfl01130,,Biosynthesis of antibiotics;;sfl01200,,Carbon metabolism;;sfl01210,,2-Oxocarboxylic acid metabolism;;sfl01230,,Biosynthesis of amino acids
A0A0H2UZQ6	N/A,,N/A
A0A0H2UZT5	N/A,,N/A
A0A0H2UZX5	N/A,,N/A
A0A0H2UZZ8	N/A,,N/A
A0A0H2V013	sfl03018,,RNA degradation
A0A0H2V042	sfl00230,,Purine metabolism;;sfl00250,,Alanine, aspartate and glutamate metabolism;;sfl01100,,Metabolic pathways;;sfl01110,,Biosynthesis of secondary metabolites;;sfl01130,,Biosynthesis of antibiotics
A0A0H2V062	sfl00561,,Glycerolipid metabolism;;sfl01100,,Metabolic pathways
A0A0H2V075	N/A,,N/A
A0A0H2V0B5	N/A,,N/A
A0A0H2V0C3	sfl00230,,Purine metabolism
A0A0H2V0C8	N/A,,N/A
A0A0H2V0D7	N/A,,N/A
A0A0H2V0E5	N/A,,N/A
A0A0H2V0F8	N/A,,N/A
A0A0H2V0J1	N/A,,N/A
A0A0H2V0L8	sfl00240,,Pyrimidine metabolism
A0A0H2V0M8	N/A,,N/A
A0A0H2V0Q5	sfl00564,,Glycerophospholipid metabolism;;sfl01110,,Biosynthesis of secondary metabolites
A0A0H2V0R7	sfl03410,,Base excision repair
A0A0H2V0T8	sfl00430,,Taurine and hypotaurine metabolism;;sfl00620,,Pyruvate metabolism;;sfl00640,,Propanoate metabolism;;sfl00680,,Methane metabolism;;sfl01100,,Metabolic pathways;;sfl01120,,Microbial metabolism in diverse environments;;sfl01200,,Carbon metabolism
A0A0H2V0W2	N/A,,N/A
A0A0H2V0Y6	N/A,,N/A
A0A0H2V0Z7	sfl00270,,Cysteine and methionine metabolism;;sfl01100,,Metabolic pathways;;sfl01230,,Biosynthesis of amino acids
A0A0H2V104	sfl00620,,Pyruvate metabolism;;sfl01100,,Metabolic pathways;;sfl01120,,Microbial metabolism in diverse environments;;sfl01200,,Carbon metabolism
A0A0H2V107	N/A,,N/A
A0A0H2V132	N/A,,N/A
A0A0H2V137	sfl02020,,Two-component system
A0A0H2V170	N/A,,N/A
A0A0H2V179	N/A,,N/A
A0A0H2V1A9	sfl00190,,Oxidative phosphorylation;;sfl03018,,RNA degradation
A0A0H2V1B5	N/A,,N/A
A0A0H2V1E3	N/A,,N/A
A0A0H2V1J2	sfl00230,,Purine metabolism;;sfl01100,,Metabolic pathways;;sfl01120,,Microbial metabolism in diverse environments
A0A0H2V1J5	N/A,,N/A
A0A0H2V1M4	sfl01503,,Cationic antimicrobial peptide (CAMP) resistance
A0A0H2V1N8	N/A,,N/A
A0A0H2V1P4	sfl00330,,Arginine and proline metabolism;;sfl00480,,Glutathione metabolism;;sfl01100,,Metabolic pathways;;sfl01110,,Biosynthesis of secondary metabolites;;sfl01130,,Biosynthesis of antibiotics
A0A0H2V1Q4	N/A,,N/A
A0A0H2V1U5	N/A,,N/A
A0A0H2V1V4	N/A,,N/A
A0A0H2V1V9	N/A,,N/A
A0A0H2V1Z0	sfl00620,,Pyruvate metabolism;;sfl00640,,Propanoate metabolism;;sfl00650,,Butanoate metabolism;;sfl01100,,Metabolic pathways;;sfl01120,,Microbial metabolism in diverse environments
A0A0H2V203	N/A,,N/A
A0A0H2V252	N/A,,N/A
A0A0H2V292	N/A,,N/A
A0A0H2V2A5	sfl00564,,Glycerophospholipid metabolism;;sfl01110,,Biosynthesis of secondary metabolites
A0A0H2V2A8	sfl00053,,Ascorbate and aldarate metabolism
A0A0H2V2B5	sfl00564,,Glycerophospholipid metabolism
A0A0H2V2L0	N/A,,N/A
A0A0H2V2S3	sfl00920,,Sulfur metabolism;;sfl02010,,ABC transporters
A0A0H2V2U9	N/A,,N/A
A0A0H2V2V7	N/A,,N/A
A0A0H2V2Y1	sfl00521,,Streptomycin biosynthesis;;sfl00562,,Inositol phosphate metabolism;;sfl01100,,Metabolic pathways
A0A0H2V2Y7	sfl00290,,Valine, leucine and isoleucine biosynthesis;;sfl00650,,Butanoate metabolism;;sfl00660,,C5-Branched dibasic acid metabolism;;sfl00770,,Pantothenate and CoA biosynthesis;;sfl01100,,Metabolic pathways;;sfl01110,,Biosynthesis of secondary metabolites;;sfl01130,,Biosynthesis of antibiotics;;sfl01210,,2-Oxocarboxylic acid metabolism;;sfl01230,,Biosynthesis of amino acids
A0A0H2V2Z3	N/A,,N/A
A0A0H2V371	N/A,,N/A
A0A0H2V3A5	N/A,,N/A
A0A0H2V3C6	N/A,,N/A
A0A0H2V3I9	sfl00500,,Starch and sucrose metabolism;;sfl02060,,Phosphotransferase system (PTS)
A0A0H2V3M4	N/A,,N/A
A0A0H2V3M9	sfl00020,,Citrate cycle (TCA cycle);;sfl00190,,Oxidative phosphorylation;;sfl00620,,Pyruvate metabolism;;sfl00650,,Butanoate metabolism;;sfl01100,,Metabolic pathways;;sfl01110,,Biosynthesis of secondary metabolites;;sfl01120,,Microbial metabolism in diverse environments;;sfl01130,,Biosynthesis of antibiotics;;sfl01200,,Carbon metabolism;;sfl02020,,Two-component system
A0A0H2V3N4	N/A,,N/A
A0A0H2V3P9	N/A,,N/A
A0A0H2V3Q5	sfl00630,,Glyoxylate and dicarboxylate metabolism;;sfl00680,,Methane metabolism;;sfl01100,,Metabolic pathways;;sfl01120,,Microbial metabolism in diverse environments;;sfl01200,,Carbon metabolism
A0A0H2V3S2	sfl00260,,Glycine, serine and threonine metabolism;;sfl00261,,Monobactam biosynthesis;;sfl00270,,Cysteine and methionine metabolism;;sfl00300,,Lysine biosynthesis;;sfl01100,,Metabolic pathways;;sfl01110,,Biosynthesis of secondary metabolites;;sfl01120,,Microbial metabolism in diverse environments;;sfl01130,,Biosynthesis of antibiotics;;sfl01230,,Biosynthesis of amino acids
A0A0H2V3S3	sfl00350,,Tyrosine metabolism;;sfl01120,,Microbial metabolism in diverse environments;;sfl01220,,Degradation of aromatic compounds
A0A0H2V3V0	sfl00270,,Cysteine and methionine metabolism;;sfl00450,,Selenocompound metabolism;;sfl00670,,One carbon pool by folate;;sfl01100,,Metabolic pathways;;sfl01110,,Biosynthesis of secondary metabolites;;sfl01230,,Biosynthesis of amino acids
A0A0H2V407	N/A,,N/A
A0A0H2V442	sfl00500,,Starch and sucrose metabolism
A0A0H2V488	N/A,,N/A
A0A0H2V555	sfl00630,,Glyoxylate and dicarboxylate metabolism;;sfl01100,,Metabolic pathways;;sfl01110,,Biosynthesis of secondary metabolites;;sfl01120,,Microbial metabolism in diverse environments;;sfl01200,,Carbon metabolism
A0A0H2V5C4	sfl00040,,Pentose and glucuronate interconversions;;sfl01100,,Metabolic pathways
A0A0H2V5L0	N/A,,N/A
A0A0H2VSM9	N/A,,N/A
A0A0H2VSS8	N/A,,N/A
A0A0H2VT45	N/A,,N/A
A0A0H2VT54	N/A,,N/A
A0A0H2VT81	sfl01053,,Biosynthesis of siderophore group nonribosomal peptides;;sfl01110,,Biosynthesis of secondary metabolites;;sfl01130,,Biosynthesis of antibiotics
A0A0H2VTA6	sfl00230,,Purine metabolism
A0A0H2VTF9	N/A,,N/A
A0A0H2VTI8	N/A,,N/A
A0A0H2VTK0	N/A,,N/A
A0A0H2VTU0	N/A,,N/A
A0A0H2VTW3	N/A,,N/A
A0A0H2VTY7	N/A,,N/A
A0A0H2VTZ4	sfl00480,,Glutathione metabolism;;sfl01100,,Metabolic pathways
A0A0H2VUP7	N/A,,N/A
A0A0H2VUT9	sfl00561,,Glycerolipid metabolism;;sfl01100,,Metabolic pathways
A0A0H2VUW9	sfl00473,,D-Alanine metabolism;;sfl01100,,Metabolic pathways;;sfl01502,,Vancomycin resistance
A0A0H2VUZ8	sfl00010,,Glycolysis / Gluconeogenesis;;sfl00071,,Fatty acid degradation;;sfl00350,,Tyrosine metabolism;;sfl00620,,Pyruvate metabolism;;sfl00625,,Chloroalkane and chloroalkene degradation;;sfl00626,,Naphthalene degradation;;sfl00650,,Butanoate metabolism;;sfl01100,,Metabolic pathways;;sfl01110,,Biosynthesis of secondary metabolites;;sfl01120,,Microbial metabolism in diverse environments;;sfl01130,,Biosynthesis of antibiotics;;sfl01220,,Degradation of aromatic compounds
A0A0H2VV08	sfl00400,,Phenylalanine, tyrosine and tryptophan biosynthesis;;sfl01100,,Metabolic pathways;;sfl01110,,Biosynthesis of secondary metabolites;;sfl01130,,Biosynthesis of antibiotics;;sfl01230,,Biosynthesis of amino acids
A0A0H2VV29	N/A,,N/A
A0A0H2VV39	sfl00010,,Glycolysis / Gluconeogenesis;;sfl00020,,Citrate cycle (TCA cycle);;sfl00620,,Pyruvate metabolism;;sfl00650,,Butanoate metabolism;;sfl01100,,Metabolic pathways;;sfl01110,,Biosynthesis of secondary metabolites;;sfl01120,,Microbial metabolism in diverse environments;;sfl01130,,Biosynthesis of antibiotics;;sfl01200,,Carbon metabolism
A0A0H2VV44	sfl00620,,Pyruvate metabolism;;sfl01120,,Microbial metabolism in diverse environments
A0A0H2VV48	N/A,,N/A
A0A0H2VVB7	sfl02010,,ABC transporters
A0A0H2VVC0	sfl00250,,Alanine, aspartate and glutamate metabolism;;sfl00460,,Cyanoamino acid metabolism;;sfl01100,,Metabolic pathways;;sfl01110,,Biosynthesis of secondary metabolites
A0A0H2VVD2	sfl00020,,Citrate cycle (TCA cycle);;sfl00190,,Oxidative phosphorylation;;sfl00650,,Butanoate metabolism;;sfl01100,,Metabolic pathways;;sfl01110,,Biosynthesis of secondary metabolites;;sfl01120,,Microbial metabolism in diverse environments;;sfl01130,,Biosynthesis of antibiotics;;sfl01200,,Carbon metabolism
A0A0H2VVG5	sfl00020,,Citrate cycle (TCA cycle);;sfl01100,,Metabolic pathways;;sfl01110,,Biosynthesis of secondary metabolites;;sfl01120,,Microbial metabolism in diverse environments;;sfl01130,,Biosynthesis of antibiotics;;sfl01200,,Carbon metabolism
A0A0H2VVI1	sfl00040,,Pentose and glucuronate interconversions;;sfl01100,,Metabolic pathways
A0A0H2VVP2	N/A,,N/A
A0A0H2VVS9	sfl00010,,Glycolysis / Gluconeogenesis;;sfl00030,,Pentose phosphate pathway;;sfl00051,,Fructose and mannose metabolism;;sfl00680,,Methane metabolism;;sfl01100,,Metabolic pathways;;sfl01110,,Biosynthesis of secondary metabolites;;sfl01120,,Microbial metabolism in diverse environments;;sfl01130,,Biosynthesis of antibiotics;;sfl01200,,Carbon metabolism;;sfl01230,,Biosynthesis of amino acids
A0A0H2VVU1	N/A,,N/A
A0A0H2VW13	N/A,,N/A
A0A0H2VW22	sfl02040,,Flagellar assembly
A0A0H2VW26	sfl00190,,Oxidative phosphorylation;;sfl01100,,Metabolic pathways
